City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
2,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
9,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
18,Galle,LK,80.15,scattered clouds,6.0367,80.217,Amangalla
20,Kodinar,IN,83.28,clear sky,20.7903,70.7031,residency of N.B vadhel
22,Barabai,ID,76.26,moderate rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
26,Kampong Thum,KH,78.51,overcast clouds,12.7111,104.8887,Sambor Village Hotel
28,Arraial Do Cabo,BR,82.36,few clouds,-22.9661,-42.0278,Pousada Porto Praia
30,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
35,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
41,Atuona,PF,79.32,scattered clouds,-9.8,-139.0333,Villa Enata
49,Rikitea,PF,78.39,overcast clouds,-23.1203,-134.9692,People ThankYou
50,Sabang,ID,84.29,overcast clouds,5.8933,95.3214,Hotel Citra
53,Samandag,TR,75.72,clear sky,36.0842,35.9771,Anadolu Palace Hotel
54,Sao Filipe,CV,76.17,scattered clouds,14.8961,-24.4956,Hotel Xaguate
71,Butaritari,KI,80.73,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Castro,BR,79.25,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
80,Puerto Ayora,EC,76.96,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Biak,ID,76.96,overcast clouds,-0.9131,122.8766,Penginapan Kim
83,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
85,Mayumba,GA,80.64,light rain,-3.432,10.6554,LIKWALE LODGE
89,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
91,Nishihara,JP,78.46,overcast clouds,26.1842,127.7558,Minshuku Agaihama
93,Pa Sang,TH,88.18,clear sky,18.5262,98.9394,โรงแรม จามจุรี 99
96,Dingle,PH,78.69,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
98,Acajutla,SV,87.03,scattered clouds,13.5928,-89.8275,Laureles
112,Mombaca,BR,89.49,clear sky,-5.7431,-39.6275,Mombaça Premium Hotel
118,Kavieng,PG,82.69,clear sky,-2.5744,150.7967,Nusa Island Retreat
122,Tecoanapa,MX,86.38,scattered clouds,16.5167,-98.75,Hotel Manglares
126,Tura,IN,75.36,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
135,Bengkulu,ID,78.67,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
136,Virginia Beach,US,85.05,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
139,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
140,Alugan,PH,80.33,heavy intensity rain,12.2188,125.4808,JM Lodge
145,Marsh Harbour,BS,75.04,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
147,Hithadhoo,MV,85.46,overcast clouds,-0.6,73.0833,Scoop Guest House
150,Bodden Town,KY,84.2,scattered clouds,19.2833,-81.25,Will T Place
151,Mercedes,AR,78.67,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
160,Sao Joao Da Barra,BR,84.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
163,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
166,San Carlos Del Zulia,VE,85.48,overcast clouds,9.0,-71.9135,Hotel El Manantial
169,Nizwa,OM,88.97,broken clouds,22.9333,57.5333,Orient Apartments
171,Shakawe,BW,80.82,scattered clouds,-18.3667,21.85,Ditlhapi Guest House
172,Bella Union,UY,80.19,broken clouds,-30.2752,-57.6007,Saville Free Shop
174,Deogarh,IN,82.26,clear sky,21.5333,84.7333,Amit Henej House
178,Kieta,PG,78.48,light rain,-6.2167,155.6333,Uruna Bay Retreat
180,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
182,Touros,BR,85.14,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
183,Gat,IL,81.39,broken clouds,31.61,34.7642,OlusHome
184,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
188,Mogadishu,SO,82.63,light rain,2.0371,45.3438,Hotel Juba
189,Santarem,BR,84.33,scattered clouds,-2.4431,-54.7083,Hotel Imperador
192,Luganville,VU,78.49,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
197,Basco,PH,81.64,clear sky,20.4487,121.9702,Nathaniel's Lodge
203,Dunmore Town,BS,75.22,scattered clouds,25.5,-76.65,Coral Sands Hotel
204,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
206,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
207,Faanui,PF,81.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
211,Hasaki,JP,75.29,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
