,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,26.98,68,68,5.59,broken clouds
1,Natal,BR,-5.795,-35.2094,86.65,66,40,14.97,scattered clouds
2,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,40,11.5,light rain
3,Quelimane,MZ,-17.8786,36.8883,73.8,93,9,5.88,light rain
4,Airai,TL,-8.9266,125.4092,59.04,88,71,0.74,broken clouds
5,Ribeira Grande,PT,38.5167,-28.7,64.8,77,20,14.97,few clouds
6,New Norfolk,AU,-42.7826,147.0587,50.9,82,100,2.15,overcast clouds
7,Marsta,SE,59.6216,17.8548,48.16,42,0,10.36,clear sky
8,Albany,US,42.6001,-73.9662,53.26,79,100,1.16,overcast clouds
9,Souillac,MU,-20.5167,57.5167,77.38,78,40,11.5,light rain
10,Naze,JP,28.3667,129.4833,73.35,90,97,15.19,overcast clouds
11,Port Macquarie,AU,-31.4333,152.9167,62.49,100,100,0.0,overcast clouds
12,Gravdal,NO,68.1214,13.5031,30.09,69,40,14.97,scattered clouds
13,Mataura,NZ,-46.1927,168.8643,52.48,97,95,4.79,overcast clouds
14,Nemuro,JP,43.3236,145.575,42.75,100,100,12.77,light rain
15,Saint Stephen,GB,50.3333,-4.9,59.27,47,20,14.97,few clouds
16,Kruisfontein,ZA,-34.0033,24.7314,59.88,84,1,13.44,clear sky
17,Dikson,RU,73.5069,80.5464,3.25,95,97,8.03,overcast clouds
18,Galle,LK,6.0367,80.217,80.15,83,33,2.17,scattered clouds
19,Ranfurly,NZ,-45.1333,170.1,47.1,85,43,4.85,scattered clouds
20,Kodinar,IN,20.7903,70.7031,83.28,62,0,14.12,clear sky
21,Zenzeli,RU,45.9241,47.0474,66.65,49,24,12.3,few clouds
22,Barabai,ID,-2.5833,115.3833,76.26,88,97,1.32,moderate rain
23,Holme,DK,56.1138,10.1725,57.18,55,29,7.05,scattered clouds
24,Bluff,NZ,-46.6,168.3333,52.81,79,52,13.2,broken clouds
25,Port Elizabeth,ZA,-33.918,25.5701,64.31,78,5,5.01,clear sky
26,Kampong Thum,KH,12.7111,104.8887,78.51,88,100,8.75,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,38.37,95,100,2.84,light rain
28,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,69,20,17.27,few clouds
29,Punta Arenas,CL,-53.15,-70.9167,37.51,75,75,6.91,broken clouds
